icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,squawk,spi,position_source
a9a499,N720LU  ,United States,1759789097,1759789098,-77.3495,36.0963,1546.86,FALSE,48.04,80.13,3.58,1653.54,,FALSE,0
406531,BAW870  ,United Kingdom,1759789098,1759789098,16.794,48.2432,10530.84,FALSE,244.09,114.13,-4.88,10607.04,522,FALSE,0
407862,EXS1914 ,United Kingdom,1759789097,1759789098,17.7321,47.1678,10972.8,FALSE,219.37,315.67,0,11026.14,3244,FALSE,0
a739af,N565C   ,United States,1759789097,1759789098,-80.3555,35.4968,5798.82,FALSE,130.12,112.31,-4.23,6080.76,,FALSE,0
44cc45,BEL7WC  ,Belgium,1759788192,1759789097,39.2358,40.9379,10972.8,FALSE,204.26,280.01,0,11506.2,,FALSE,0
a619f9,N49202  ,United States,1759789081,1759789081,-117.7656,34.0907,426.72,FALSE,25.74,272.29,-0.65,365.76,,FALSE,0
461f5b,FIN87   ,Finland,1759788560,1759789096,24.5727,59.9767,5867.4,FALSE,181.16,189.81,11.05,3665.22,6012,FALSE,0
a1050b,N165JB  ,United States,1759789097,1759789098,-84.2443,38.5967,1615.44,FALSE,91.65,16.3,0,1691.64,,FALSE,0
34640e,IBE0267 ,Spain,1759789098,1759789098,-3.5414,40.6746,1905,FALSE,128.33,356.55,8.45,2103.12,2670,FALSE,0
396669,TAY3PO  ,France,1759788907,1759788909,2.5741,49.0274,68.58,FALSE,67.08,265.6,-2.6,228.6,2207,FALSE,0
a09533,AAL2439 ,United States,1759789098,1759789098,-97.1923,33.2581,1455.42,FALSE,127.44,94.4,-6.18,1508.76,6717,FALSE,0
ad8c49,NKS1885 ,United States,1759789003,1759789003,-82.5303,27.9785,,TRUE,5.66,247.5,,,5572,TRUE,0
ad56f4,JSX751  ,United States,1759789098,1759789098,-103.4716,34.7102,11277.6,FALSE,271.3,78.63,0.33,11757.66,,FALSE,0
ac10af,DAL449  ,United States,1759789098,1759789098,-100.7719,35.8941,10668,FALSE,281.83,79.7,0,11148.06,,FALSE,0
a3dc47,DAL643  ,United States,1759789098,1759789098,-78.1481,38.4748,10972.8,FALSE,227.38,233,0,11521.44,2647,FALSE,0
89656f,ETD42B  ,United Arab Emirates,1759789098,1759789098,14.7656,46.5966,11254.74,FALSE,271.05,115.64,1.63,11414.76,5227,FALSE,0
ada6ed,AAL2005 ,United States,1759789097,1759789098,-85.3041,39.7275,10668,FALSE,274.88,81.17,0,11148.06,2603,FALSE,0
89653a,ETD128  ,United Arab Emirates,1759789098,1759789098,25.6647,43.1534,10050.78,FALSE,244.18,103.77,0.33,10210.8,6402,FALSE,0
7c7802,QFA1088 ,Australia,1759789098,1759789098,116.894,-31.0112,8717.28,FALSE,248.53,23.81,4.55,9006.84,3261,FALSE,0
7c7801,QFA417  ,Australia,1759789085,1759789085,144.8463,-37.6665,,TRUE,9.77,81.56,,,2242,FALSE,0
a2bc9e,UAL2382 ,United States,1759789098,1759789098,-97.3255,36.2472,10058.4,FALSE,272.86,96.5,0,10546.08,,FALSE,0
abaf9f,JRE852  ,United States,1759789066,1759789067,-115.6582,38.3222,13106.4,FALSE,220.26,73.72,0,13487.4,,FALSE,0
ad43e6,DAL1516 ,United States,1759789098,1759789098,-84.4919,38.2285,6187.44,FALSE,208.6,177.17,11.38,6484.62,,FALSE,0
a76f48,UAL2633 ,United States,1759789098,1759789098,-105.0131,39.8456,3291.84,FALSE,168.79,271.4,9.75,3398.52,1436,FALSE,0
781eb7,CES788  ,China,1759788876,1759788907,45.2043,41.3275,11277.6,FALSE,274.28,108.71,0,11780.52,,FALSE,0
4b9910,FHY731  ,Turkey,1759789098,1759789098,21.8422,48.1372,10378.44,FALSE,232.9,316.61,-0.33,10370.82,5331,FALSE,0
ab4c9e,N827U   ,United States,1759789098,1759789098,-84.0035,42.4932,11582.4,FALSE,203.72,269.71,0,12009.12,1732,FALSE,0
a3dc4b,N348P   ,United States,1759789098,1759789098,-110.7236,32.0797,1432.56,FALSE,69.49,332.68,-3.9,1417.32,,FALSE,0
ae0f92,MAGIC21 ,United States,1759789098,1759789098,128.3686,26.729,4640.58,FALSE,82.75,51.56,3.9,4983.48,,FALSE,0
4b9903,,Turkey,1759789098,1759789098,7.1194,50.8817,,TRUE,0,216.56,,,,FALSE,0
4b9907,FHY1257 ,Turkey,1759789098,1759789098,20.0625,47.75,10965.18,FALSE,227.81,306.27,-0.33,10995.66,5313,FALSE,0
a11835,N17QC   ,United States,1759789098,1759789098,-113.1806,34.9054,13106.4,FALSE,173.18,262.83,0,13548.36,5476,FALSE,0
a5e6be,N48FA   ,United States,1759789098,1759789098,-83.8484,35.984,480.06,FALSE,43.9,259.88,-1.3,525.78,,FALSE,0
461f52,FIN131  ,Finland,1759788652,1759789098,20.5747,55.3327,10332.72,FALSE,4.12,0,1.95,8511.54,6030,FALSE,0
a2bc94,N2758W  ,United States,1759789098,1759789098,-91.0246,34.2455,13395.96,FALSE,247.71,124.25,4.23,14051.28,1501,FALSE,0
461f54,FIN61   ,Finland,1759789098,1759789098,-167.9476,66.9512,10972.8,FALSE,244,182.05,0,10622.28,,FALSE,0
407837,EZY982X ,United Kingdom,1759789097,1759789098,12.317,45.8465,10965.18,FALSE,196.06,304.52,0.33,11231.88,2054,FALSE,0
a3dc5a,EDV4826 ,United States,1759788986,1759788999,-92.7697,44.2167,1219.2,FALSE,131.43,118.27,-1.95,1257.3,4550,FALSE,0
8964b2,UAE3HJ  ,United Arab Emirates,1759789097,1759789097,151.1727,-33.9434,,TRUE,4.12,75.94,,,,FALSE,0
a690fb,GJS4596 ,United States,1759789098,1759789098,-88.9886,35.8729,5349.24,FALSE,188,205.44,-9.1,5615.94,7237,FALSE,0
a52ea4,DAL70   ,United States,1759789057,1759789068,-66.905,47.7393,11277.6,FALSE,256.3,36.59,0,11696.7,3243,FALSE,0
a26bb8,SKW3619 ,United States,1759789096,1759789096,-116.8568,42.8582,10363.2,FALSE,213.28,332.88,0,10660.38,,FALSE,0
8964b6,UAE4    ,United Arab Emirates,1759789098,1759789098,24.2774,43.3932,11887.2,FALSE,266.45,102.83,0,12024.36,2264,FALSE,0
0d1005,VOI730  ,Mexico,1759789097,1759789097,-98.8432,20.7079,9738.36,FALSE,223.62,9.27,4.23,10363.2,,FALSE,0
8964b5,UAE39L  ,United Arab Emirates,1759789098,1759789098,24.3271,42.8674,11887.2,FALSE,266.79,98.43,0,12054.84,4133,FALSE,0
7c63a2,TYS     ,Australia,1759788884,1759788884,145.1729,-36.9994,1158.24,FALSE,63.17,12.23,0,1181.1,3253,FALSE,0
a0f869,UCA4250 ,United States,1759789098,1759789098,-77.4544,38.9388,,TRUE,0,284.06,,,,FALSE,0
8964b7,UAE43P  ,United Arab Emirates,1759789089,1759789089,72.7973,15.514,12192,FALSE,262.82,298.02,0,12832.08,,FALSE,0
ac249e,SWA4087 ,United States,1759789098,1759789098,-115.6415,35.7324,10668,FALSE,239.07,48.49,0,11033.76,,FALSE,0
8964c2,ETD4SA  ,United Arab Emirates,1759789016,1759789097,29.0708,42.4839,11887.2,FALSE,270.43,106.13,0.98,12131.04,7647,FALSE,0
a0f886,UCA4905 ,United States,1759789098,1759789098,-87.4732,32.537,9753.6,FALSE,204.28,202.82,0.98,10325.1,724,FALSE,0
ad579b,NJM959  ,United States,1759789098,1759789098,-91.761,43.7959,7063.74,FALSE,238.06,104.01,10.08,7277.1,,FALSE,0
ab5f00,SWA917  ,United States,1759789098,1759789098,-77.175,38.0256,6675.12,FALSE,222.29,10.4,-13,7056.12,,FALSE,0
a35843,UAL1949 ,United States,1759789027,1759789027,-88.089,28.2054,10363.2,FALSE,236.94,283.95,0,10995.66,,FALSE,0
4b990d,FHY1897 ,Turkey,1759789098,1759789098,30.6779,39.187,10363.2,FALSE,231.69,339.19,-0.33,10797.54,,FALSE,0
4b990c,FHY953  ,Turkey,1759787889,1759789098,22.9645,52.604,10363.2,FALSE,220.91,9.92,0.33,,5376,FALSE,0
a03edc,AER53   ,United States,1759789098,1759789098,-152.9022,60.3931,5791.2,FALSE,138.18,58.09,-0.33,5638.8,,FALSE,0
750220,MAS847  ,Malaysia,1759789098,1759789098,101.5399,2.8831,2057.4,FALSE,143.2,309.75,12.35,2141.22,,FALSE,0
a47818,N3873M  ,United States,1759789098,1759789098,-113.0451,40.7792,2819.4,FALSE,73.41,264.37,0,2895.6,,FALSE,0
0ac326,NSE8714 ,Colombia,1759789098,1759789098,-73.8411,4.8496,4884.42,FALSE,103.41,89.43,3.25,5173.98,,FALSE,0
a4c82c,N407RU  ,United States,1759789096,1759789098,-111.9008,40.3012,1844.04,FALSE,62.76,0,0,1897.38,1200,FALSE,0
ac1187,NDU877  ,United States,1759789096,1759789097,-111.6322,33.2584,746.76,FALSE,50.12,35.81,-1.63,685.8,,FALSE,0
05a054,DQA397A ,Maldives,1759788803,1759788805,103.8479,20.0976,11582.4,FALSE,235.12,210.94,0,12321.54,,FALSE,0
781f73,CSN381  ,China,1759788871,1759788871,153.1092,-27.4062,,TRUE,1.29,326.25,,,,FALSE,0
a0953e,N137AM  ,United States,1759789098,1759789098,-118.153,47.6577,792.48,FALSE,27.17,251.22,-1.63,861.06,,FALSE,0
a72808,N560ML  ,United States,1759788939,1759788939,-80.7112,35.3868,,TRUE,5.14,191.25,,,6527,FALSE,0
abf17f,AAL1782 ,United States,1759789097,1759789098,-82.3484,30.4874,8054.34,FALSE,216.96,106.67,-1.95,8511.54,2233,FALSE,0
4076dd,EXS85G  ,United Kingdom,1759789098,1759789098,22.4462,42.8062,11582.4,FALSE,238.41,322.36,0,11681.46,3271,FALSE,0
a9ec58,N7389B  ,United States,1759789076,1759789076,-94.229,39.0144,281.94,FALSE,42.7,90.69,-3.58,266.7,,FALSE,0
8964a1,UAE404  ,United Arab Emirates,1759789093,1759789096,77.3615,9.6405,9448.8,FALSE,248.55,136.59,0,9944.1,6206,FALSE,0
461f09,FIN15   ,Finland,1759789098,1759789098,-70.7615,43.1249,12192,FALSE,241.48,199.67,0,12687.3,2437,FALSE,0
4.08E+07,BAW4TH  ,United Kingdom,1759789051,1759789051,27.4695,34.8143,10668,FALSE,236.83,135.62,0,11155.68,2731,FALSE,0
aa80e4,SCA77   ,United States,1759789095,1759789096,-111.8858,33.0576,807.72,FALSE,53.86,17.22,-1.3,754.38,,FALSE,0
8964a5,UAE815  ,United Arab Emirates,1759789097,1759789097,53.3156,25.6345,10972.8,FALSE,256.79,284.62,0,11681.46,547,FALSE,0
8964a4,UAE182  ,United Arab Emirates,1759788293,1759789096,27.571,42.7928,11277.6,FALSE,271.67,105.04,0,11513.82,113,FALSE,0
4.08E+03,NPT4FS  ,United Kingdom,1759789098,1759789098,-0.3304,51.1944,7010.4,FALSE,221.19,147.34,0,7406.64,6302,FALSE,0
ab5f29,N8315S  ,United States,1759789098,1759789098,-88.3019,42.1109,1013.46,FALSE,76.62,22.09,0,1036.32,1200,FALSE,0
ad3178,N94937  ,United States,1759789098,1759789098,-84.4253,39.6223,1036.32,FALSE,63.59,216.78,-1.63,1097.28,1200,FALSE,0
a4c849,SKW3438 ,United States,1759788849,1759788849,-122.5373,48.7696,76.2,FALSE,65.85,0.45,-3.58,190.5,,FALSE,0
76cc63,SIA608  ,Singapore,1759789098,1759789098,126.8051,37.3747,3710.94,FALSE,149.89,248.45,-3.9,3909.06,166,FALSE,0
8964a8,UAE29U  ,United Arab Emirates,1759789087,1759789089,36.4369,40.1946,11277.6,FALSE,273.92,113.58,0,11818.62,,FALSE,0
8964a6,UAE7DN  ,United Arab Emirates,1759788716,1759789097,27.4451,43.2307,10668,FALSE,254.26,117.6,0.33,10858.5,7112,FALSE,0
76cc65,SIA402  ,Singapore,1759789084,1759789098,83.7242,20.5417,11582.4,FALSE,266.65,314.45,0,12245.34,2201,FALSE,0
a87c4f,JBU387  ,United States,1759789098,1759789098,-96.2162,42.8796,10363.2,FALSE,191.8,251.22,0,10622.28,3636,FALSE,0
aa80ca,VJA776  ,United States,1759789098,1759789098,-118.4145,33.5202,2164.08,FALSE,132.22,90.67,-6.5,2164.08,,FALSE,0
ab5f1b,SWA1293 ,United States,1759789098,1759789098,-78.7555,35.9489,10972.8,FALSE,234.77,38.33,0,11551.92,2652,FALSE,0
a4a0cd,DAL1803 ,United States,1759789002,1759789002,-84.4286,33.6337,,TRUE,1.29,56.25,,,4141,FALSE,0
a45210,FFT1918 ,United States,1759789098,1759789098,-83.3632,40.4193,7284.72,FALSE,229.67,73.47,-4.88,7627.62,1475,FALSE,0
a713ee,N555VW  ,United States,1759789098,1759789098,-85.0343,32.8433,1470.66,FALSE,122.18,234.77,0,1546.86,3312,FALSE,0
76cc77,SIA638  ,Singapore,1759789098,1759789098,139.981,34.3744,7482.84,FALSE,240.84,45.87,-11.38,8023.86,132,FALSE,0
76cc76,SIA672  ,Singapore,1759788839,1759788839,129.5447,27.8588,11887.2,FALSE,252.94,50.61,-0.33,12717.78,,FALSE,0
76cc79,SIA441  ,Singapore,1759788942,1759788955,103.9546,1.2947,358.14,FALSE,86.67,23.06,-4.55,388.62,,FALSE,0
05a06e,DQA709  ,Maldives,1759789097,1759789098,76.6739,8.4588,2720.34,FALSE,100.54,243.57,6.5,2750.82,671,FALSE,0
a4fc9a,LNE122  ,United States,1759788957,1759788957,-80.8505,16.4838,10363.2,FALSE,234.79,351.18,0,11003.28,,FALSE,0
a9ff60,N743TH  ,United States,1759789098,1759789098,-122.1074,38.2611,830.58,FALSE,59.99,210.96,-1.63,792.48,,FALSE,0
76cc6e,SIA618  ,Singapore,1759789070,1759789070,127.6301,27.4996,11887.2,FALSE,253.22,41.79,-0.33,12733.02,,FALSE,0
ab4c15,AAL3306 ,United States,1759789098,1759789098,-84.6229,38.5588,4945.38,FALSE,202.49,168.72,12.68,5173.98,,FALSE,0
abaf1e,DAL1542 ,United States,1759789098,1759789098,-110.7911,38.305,9753.6,FALSE,221.99,234.43,-0.33,10043.16,,FALSE,0
a9ec06,UAL746  ,United States,1759789098,1759789098,-78.6777,38.9911,8602.98,FALSE,240.06,274.79,9.1,9037.32,,FALSE,0
a2bba4,UAL2356 ,United States,1759789098,1759789098,-101.7925,41.5575,10668,FALSE,275.18,70.11,0,10927.08,3636,FALSE,0
c06b76,CGOSB   ,Canada,1759788809,1759788823,-122.9986,49.0779,-53.34,FALSE,15.43,270,0.65,-7.62,,FALSE,0
a9c9cd,N73MH   ,United States,1759789093,1759789096,-122.2934,48.2271,914.4,FALSE,40.7,339.27,-4.88,967.74,,FALSE,0
a9c9cb,N73MF   ,United States,1759789096,1759789096,-98.4358,29.6098,914.4,FALSE,43.99,10.78,2.93,929.64,,FALSE,0
08006e,,United Republic of Tanzania,1759789066,1759789066,55.9872,22.5671,9144,FALSE,240.96,352.15,0,,,FALSE,0
ab29ff,N8184G  ,United States,1759789098,1759789098,-73.2331,40.9478,548.64,FALSE,54.1,93.27,0.98,594.36,,FALSE,0
accf07,SWA559  ,United States,1759789098,1759789098,-93.2875,33.7235,12496.8,FALSE,242.27,63.92,0,13144.5,7473,FALSE,0
a14bed,N183BC  ,United States,1759788791,1759788807,-123.0443,44.5425,739.14,FALSE,67.21,61.67,-3.9,746.76,,FALSE,0
a26bc2,,United States,1759789096,1759789096,-100.2513,38.1008,19446.24,FALSE,4.15,60.26,0.33,20406.36,,FALSE,0
a8df4b,DAL304  ,United States,1759789098,1759789098,-91.5252,42.577,11887.2,FALSE,280.24,76.19,0.33,12207.24,364,FALSE,0
a1057a,AAL844  ,United States,1759789098,1759789098,-96.8799,32.6894,2720.34,FALSE,150.26,88.63,10.08,2819.4,2304,FALSE,0
aaf6d1,N8050J  ,United States,1759789098,1759789098,-74.2719,40.8523,365.76,FALSE,55.66,81.5,-4.55,411.48,1200,FALSE,0
ad9f15,EJA977  ,United States,1759789098,1759789098,-88.5408,41.3682,1950.72,FALSE,148.73,76.4,-7.8,1996.44,1101,FALSE,0
a8deb4,DAL2035 ,United States,1759788989,1759788992,-84.4347,33.6375,,TRUE,2.06,208.12,,,,FALSE,0
a63bd4,VJA500  ,United States,1759789098,1759789098,-83.7747,29.6345,8732.52,FALSE,246.24,150.6,-8.78,9265.92,5657,FALSE,0
c024c5,ANT547  ,Canada,1759788803,1759788811,-123.5971,48.6817,624.84,FALSE,93.49,105.64,-5.85,693.42,,FALSE,0
e48e46,TAM3473 ,Brazil,1759789098,1759789098,-43.1986,-22.1854,4267.2,FALSE,215.14,340.01,0,4526.28,,FALSE,0
a0d27e,N152K   ,United States,1759789098,1759789098,-95.6577,30.0349,3215.64,FALSE,79.94,265.94,0.33,3360.42,,FALSE,0
ac1327,SWA2089 ,United States,1759789052,1759789052,-86.6655,36.1182,,TRUE,36.01,196.88,,,1620,FALSE,0
ada93f,N98ER   ,United States,1759789056,1759789056,-75.5836,39.2974,198.12,FALSE,35.44,256.57,0.33,243.84,,FALSE,0
aa833c,N777CB  ,United States,1759789098,1759789098,-73.7456,39.9247,9448.8,FALSE,154.57,22.3,0,9898.38,,FALSE,0
a34595,N31MK   ,United States,1759789098,1759789098,-104.7173,38.8173,,TRUE,11.83,0,,,,FALSE,0
a4fbf5,PFT420  ,United States,1759789098,1759789098,-115.1077,34.1591,11993.88,FALSE,180.7,254.82,-2.28,12443.46,,FALSE,0
e48e49,AZU4831 ,Brazil,1759789098,1759789098,-47.0522,-23.0472,5570.22,FALSE,179.85,47.32,-10.4,5890.26,,FALSE,0
c06d48,JZA596  ,Canada,1759789042,1759789044,-121.6016,38.6803,76.2,FALSE,71,0.42,-3.9,7.62,2621,FALSE,0
507ca8,AUV2251 ,Uzbekistan,1759789095,1759789095,51.2307,27.7469,10363.2,FALSE,236.14,213.45,0,11033.76,3640,FALSE,0
a5d557,CXK504  ,United States,1759789025,1759789025,-77.3217,37.529,68.58,FALSE,34.47,180,-2.6,152.4,,FALSE,0
ac2668,GTX487  ,United States,1759789098,1759789098,-101.6192,32.2252,1828.8,FALSE,98.96,261.03,0,1859.28,,FALSE,0
846444,JAL901  ,Japan,1759789098,1759789098,139.0065,34.9916,6583.68,FALSE,215.43,259.68,9.1,7033.26,4775,FALSE,0
a71545,N55564  ,United States,1759789076,1759789076,-123.9702,44.8332,883.92,FALSE,52.81,125.08,1.63,876.3,,FALSE,0
ab0693,N80964  ,United States,1759789061,1759789079,-73.9922,41.4706,701.04,FALSE,42.58,281.85,-2.6,754.38,,FALSE,0
a5d570,UAL1243 ,United States,1759789098,1759789098,-114.8492,31.7863,10972.8,FALSE,233.09,321.99,0,11460.48,,FALSE,0
8a0928,MYU221  ,Indonesia,1759789098,1759789098,103.4234,2.1256,7193.28,FALSE,215.97,312.2,8.13,7581.9,,FALSE,0
a63bf4,SWA2626 ,United States,1759789098,1759789098,-116.3344,35.1561,7315.2,FALSE,198.33,46.58,0,7566.66,,FALSE,0
4078b8,BAW59   ,United Kingdom,1759789098,1759789098,0.1691,50.5302,5783.58,FALSE,235.29,146.87,6.5,6134.1,6304,FALSE,0
a3323d,DAL2312 ,United States,1759789087,1759789087,-74.1662,40.6988,,TRUE,0,25.31,,,,FALSE,0
a71574,N5558F  ,United States,1759789098,1759789098,-84.0819,39.5782,0,FALSE,61.85,31.05,0.33,,1200,FALSE,0
484cbb,KLM166  ,Kingdom of the Netherlands,1759789098,1759789098,-72.1892,42.4872,10972.8,FALSE,247.01,230.41,0,11468.1,6346,FALSE,0
84b40d,APJ859  ,Japan,1759789058,1759789058,132.0731,32.3214,10972.8,FALSE,231.95,240.65,0,11772.9,3226,FALSE,0
abafff,AAL923  ,United States,1759788991,1759788991,-80.3191,25.786,53.34,FALSE,73.68,86.8,-3.58,53.34,1113,TRUE,0
ac134a,SWA2212 ,United States,1759788828,1759788829,-118.3684,33.9389,144.78,FALSE,70.45,263.29,-3.58,83.82,,FALSE,0
ac267c,AAL1950 ,United States,1759789066,1759789066,-97.0334,32.8982,,TRUE,3.09,53.44,,,,FALSE,0
ac0027,SWA3806 ,United States,1759789098,1759789098,-105.2327,40.5459,10972.8,FALSE,208.86,257.92,0.33,11262.36,5766,FALSE,0
a5d56b,N475TW  ,United States,1759789098,1759789098,-122.673,45.7379,746.76,FALSE,103.57,186.56,-2.93,792.48,6434,FALSE,0
4078a3,UKP155  ,United Kingdom,1759789098,1759789098,-2.5102,51.7637,815.34,FALSE,89.89,33.33,0,952.5,,FALSE,0
a63beb,KPO500  ,United States,1759789028,1759789028,-93.1602,44.8666,373.38,FALSE,69.53,301.69,-4.23,426.72,7434,FALSE,0
abf32f,SWA3870 ,United States,1759789098,1759789098,-85.2668,37.4085,7254.24,FALSE,215.91,160.66,13.66,7597.14,,FALSE,0
a95514,N700FJ  ,United States,1759789098,1759789098,-121.8453,38.0793,1318.26,FALSE,97.37,273.03,-6.83,1325.88,,FALSE,0
a33243,DAL2027 ,United States,1759789098,1759789098,-105.1533,40.9107,10660.38,FALSE,260.42,55.46,-0.65,10919.46,6346,FALSE,0
4065de,BAW28K  ,United Kingdom,1759789098,1759789098,-116.2847,49.3102,10972.8,FALSE,254.72,207.55,0,11269.98,,FALSE,0
a60852,SWA4395 ,United States,1759789098,1759789098,-119.3148,34.3981,12192,FALSE,213.17,315,0,12603.48,,FALSE,0
abf351,SWA1274 ,United States,1759789090,1759789097,-99.6215,37.7892,10363.2,FALSE,204.01,278.7,0,10767.06,1657,FALSE,0
aa8307,N777    ,United States,1759789098,1759789098,-82.027,31.3709,13693.14,FALSE,237.41,188.85,-2.6,14333.22,6215,FALSE,0
75026b,XAX331  ,Malaysia,1759789097,1759789098,103.9023,4.2523,12192,FALSE,247.54,208.96,0,12900.66,,FALSE,0
a9ec8c,N739AT  ,United States,1759788848,1759788851,-117.6192,33.9738,274.32,FALSE,27.78,271.06,-0.65,198.12,,FALSE,0
a237a0,N242CA  ,United States,1759788956,1759788965,-95.0946,35.2822,502.92,FALSE,55.69,78.27,-0.98,495.3,3564,FALSE,0
abe00f,SWA2004 ,United States,1759789097,1759789098,-115.1457,36.0801,,TRUE,0,278.44,,,,FALSE,0
a76eb5,N57810  ,United States,1759789098,1759789098,-107.5078,35.8403,13098.78,FALSE,191.17,252.3,0.33,13594.08,,FALSE,0
ada981,N98HG   ,United States,1759789088,1759789088,-99.6959,38.6468,10363.2,FALSE,206.02,305.75,-0.33,10759.44,,FALSE,0
ac136d,SWA2440 ,United States,1759789098,1759789098,-111.8173,33.6619,3322.32,FALSE,128.86,237.39,-5.53,3429,,FALSE,0
ad4690,N9545F  ,United States,1759789097,1759789098,-84.2254,39.0624,335.28,FALSE,43.24,214.82,3.25,388.62,,FALSE,0
a094b8,N1366U  ,United States,1759789098,1759789098,-123.2221,44.9412,1005.84,FALSE,27.99,126.03,0,1028.7,,FALSE,0
aad386,N797RJ  ,United States,1759789014,1759789014,-117.1227,32.8094,251.46,FALSE,35.89,297.3,-3.25,182.88,,FALSE,0
7c78ac,QLK1261 ,Australia,1759789098,1759789098,149.4311,-32.0932,11582.4,FALSE,193.85,217.23,0,12016.74,1007,FALSE,0
76cd19,SIA216  ,Singapore,1759789097,1759789097,103.9969,1.0295,3634.74,FALSE,135.42,349.71,-2.93,3840.48,,FALSE,0
7c78aa,QLK1291 ,Australia,1759788821,1759788821,146.4922,-41.2615,9822.18,FALSE,231.02,154.41,-9.75,9936.48,3663,FALSE,0
7c78ae,QLK1503 ,Australia,1759789098,1759789098,151.1896,-33.9623,,TRUE,14.4,165.94,,,6767,FALSE,0
a72833,KPO560  ,United States,1759789098,1759789098,-78.6175,37.5244,12192,FALSE,210.51,216.95,0,12740.64,7367,FALSE,0
ad4685,KSF7    ,United States,1759789078,1759789078,-81.35,41.0999,708.66,FALSE,49.96,73.24,0,746.76,,FALSE,0
8832cf,TLM243  ,Thailand,1759789098,1759789098,89.4233,21.0954,8397.24,FALSE,244.24,144.6,3.9,8915.4,432,FALSE,0
a72832,N560PC  ,United States,1759789098,1759789098,-122.8977,45.6504,678.18,FALSE,43.6,19.29,-0.33,693.42,,FALSE,0
750260,MAS178  ,Malaysia,1759789098,1759789098,100.9511,2.9501,5715,FALSE,184.28,116.35,-2.6,6042.66,,FALSE,0
7c78a9,QLK1275 ,Australia,1759789098,1759789098,148.5556,-35.8672,9296.4,FALSE,182.95,235.19,2.93,9532.62,,FALSE,0
a4fbac,AAL1504 ,United States,1759789097,1759789098,-78.9624,34.0853,9753.6,FALSE,238.88,214.65,0,10287,,FALSE,0
750264,MAS6127 ,Malaysia,1759789098,1759789098,23.7945,38.2339,11277.6,FALSE,232.05,145.11,0,11590.02,174,FALSE,0
acbcfd,N92N    ,United States,1759788881,1759788881,-74.1702,40.7031,-30.48,FALSE,27.8,87.88,-2.93,7.62,306,FALSE,0
750262,MAS88   ,Malaysia,1759789098,1759789098,140.5379,35.5837,1379.22,FALSE,101.2,329.79,-5.2,1531.62,6010,FALSE,0
a5d51c,EJA475  ,United States,1759789098,1759789098,-76.8545,42.5336,10058.4,FALSE,256.4,92.3,0,10492.74,7062,FALSE,0
abf375,SWA1729 ,United States,1759788864,1759788864,-80.3215,25.7858,60.96,FALSE,73.17,86.78,-4.23,53.34,,FALSE,0
750258,MAS52   ,Malaysia,1759789092,1759789092,135.2477,34.4342,,TRUE,4.63,250.31,,,,FALSE,0
8965f8,ABY620  ,United Arab Emirates,1759789096,1759789096,32.4236,29.6162,5783.58,FALSE,204.8,285.29,-11.05,6156.96,3451,FALSE,0
a6f50c,N5475Z  ,United States,1759789084,1759789098,-97.4298,32.9434,304.8,FALSE,30.51,84.19,-1.3,342.9,5015,FALSE,0
750255,MAS385  ,Malaysia,1759789098,1759789098,101.8877,2.651,1813.56,FALSE,122.28,145.98,-8.13,1920.24,,FALSE,0
a57229,AAL3040 ,United States,1759789098,1759789098,-96.8535,40.5166,10363.2,FALSE,201.63,260.9,0,10721.34,6700,FALSE,0
4078f0,EZY57VH ,United Kingdom,1759789098,1759789098,5.6771,45.4983,10965.18,FALSE,201.61,326.55,0,11490.96,4023,FALSE,0
4078de,BAW189  ,United Kingdom,1759789098,1759789098,-72.5283,42.1846,4800.6,FALSE,195.88,260.93,-0.33,5059.68,,FALSE,0
a63bc0,WUP500  ,United States,1759789098,1759789098,-78.1984,36.4282,12496.8,FALSE,215.37,30.42,0.33,13098.78,1446,FALSE,0
4078dd,BAW9CG  ,United Kingdom,1759789097,1759789097,-93.4786,64.3945,11582.4,FALSE,259.36,220.74,0,11049,,FALSE,0
44ccd1,BEL52B  ,Belgium,1759789091,1759789097,-73.8076,40.646,,TRUE,0,300.94,,,,FALSE,0
a9ec96,SJN4    ,United States,1759789093,1759789098,-123.0122,48.5894,487.68,FALSE,57.65,283.42,-0.98,510.54,,FALSE,0
75025b,MAS146  ,Malaysia,1759789098,1759789098,144.4227,-37.2848,3421.38,FALSE,179.65,302.96,8.13,3474.72,1262,FALSE,0
a4fbc9,N420BS  ,United States,1759789098,1759789098,-85.3092,35.0188,8724.9,FALSE,205.98,330.36,-5.2,9212.58,1521,FALSE,0
8965fb,ADY200  ,United Arab Emirates,1759789098,1759789098,73.3492,16.0103,11285.22,FALSE,228.29,152.05,0,11917.68,,FALSE,0
a9ec7f,ENY3602 ,United States,1759789098,1759789098,-77.6864,45.0588,10363.2,FALSE,206.95,250.84,-0.33,10744.2,1051,FALSE,0
c01294,CFHAX   ,Canada,1759789097,1759789097,-123.3113,49.3856,365.76,FALSE,56.02,45,4.23,396.24,,FALSE,0
acaa77,AAL2286 ,United States,1759789098,1759789098,-81.7001,27.1194,10073.64,FALSE,245.95,311.69,6.18,10660.38,,FALSE,0
7c5322,QFA60   ,Australia,1759789098,1759789098,150.8114,-31.972,11277.6,FALSE,244.46,165,0,11742.42,7455,FALSE,0
